customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,Male,0,Yes,Yes,24,No,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,115.10582451653677,6479.5573084539765,Yes
1,Female,1,No,Yes,72,Yes,Yes,DSL,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,112.42664891134339,5248.141489460671,Yes
2,Male,1,Yes,Yes,36,No,No,DSL,Yes,Yes,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),65.42142166574638,4414.94353220215,No
3,Male,1,Yes,No,38,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),104.20426509893134,712.3283176128757,Yes
4,Male,1,No,No,25,No,Yes,DSL,Yes,No,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),102.45493985350704,3278.273546730317,Yes
5,Female,1,Yes,Yes,18,No,No phone service,No,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.91004732432556,2992.79974279229,No
6,Male,1,No,No,66,No,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),100.89154741506773,2091.354701974924,No
7,Male,1,No,No,54,No,No,No,No internet service,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),21.700763471549262,5792.339347462285,Yes
8,Male,1,No,No,35,Yes,No,No,Yes,No internet service,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),77.6269878482053,3976.0801173987484,Yes
9,Female,0,Yes,No,61,No,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No,One year,No,Electronic check,41.000883728770305,664.9108953748458,Yes
10,Male,1,Yes,No,41,No,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Mailed check,30.056688577727883,1775.502317963394,Yes
11,Male,0,Yes,Yes,33,No,No,DSL,Yes,No,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),25.695320162920915,5471.771451530894,Yes
12,Male,1,Yes,No,68,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.62887758781397,625.676520451576,Yes
13,Male,1,Yes,Yes,33,No,No,No,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),51.98749637680661,6812.333587937272,No
14,Female,0,Yes,Yes,14,Yes,Yes,DSL,Yes,No,No,No internet service,Yes,No,One year,No,Mailed check,90.47667715287615,3970.259578625543,No
15,Male,1,Yes,No,21,No,No,No,Yes,No internet service,No,No internet service,No,No internet service,One year,No,Electronic check,24.535634079894237,3854.0420602213044,No
16,Female,0,No,Yes,48,Yes,No phone service,DSL,No,No internet service,Yes,Yes,No internet service,Yes,Two year,Yes,Mailed check,49.52903378306104,4746.598937152269,Yes
17,Female,1,Yes,Yes,20,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,Two year,No,Mailed check,71.94912923753373,6600.603470014541,No
18,Female,1,No,Yes,8,No,No,No,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,97.07231648389636,2794.213097475305,Yes
19,Male,0,Yes,No,7,Yes,No phone service,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,49.87525029320699,5429.924929726445,Yes
20,Female,1,Yes,No,67,No,No,No,Yes,No,Yes,No internet service,No,No internet service,Two year,No,Electronic check,80.58913764370091,4533.672536614405,No
21,Male,0,Yes,Yes,17,No,Yes,DSL,No,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),106.5977748236187,2149.419652492321,Yes
22,Female,1,No,No,33,No,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,79.58631881823047,7031.224551086871,Yes
23,Female,0,No,No,48,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No,One year,No,Electronic check,41.29594747536338,6383.0545044665005,No
24,Female,0,No,No,59,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,20.4400781556538,5273.762544243552,No
25,Female,1,No,No,22,No,No,No,Yes,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,105.00988739009298,6807.343361630239,No
26,Female,1,Yes,Yes,30,No,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),20.126941085038712,6940.742312061143,Yes
27,Female,0,No,Yes,38,Yes,No phone service,No,No,Yes,No internet service,No,Yes,No,One year,No,Credit card (automatic),105.47016726841994,5672.153280139408,No
28,Female,1,Yes,No,51,No,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,70.8937134027212,6699.04038699883,No
29,Female,1,Yes,No,54,No,No phone service,DSL,Yes,No,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,111.90676985128962,5585.217207044222,Yes
30,Male,1,No,Yes,8,No,Yes,No,No,No internet service,No,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),97.87832357736654,5446.883640190718,No
31,Male,0,No,Yes,27,Yes,Yes,No,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),117.79341105333374,4955.756020913601,No
32,Female,0,No,No,27,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,No,Bank transfer (automatic),53.071181545171015,6026.184216949092,No
33,Female,0,No,Yes,21,Yes,No phone service,No,No,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,Mailed check,94.71882889311269,1283.9859504493143,Yes
34,Female,0,No,No,30,No,No phone service,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,58.193091360924214,7049.110399925847,Yes
35,Male,0,No,No,28,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),65.98756203039088,6977.055038462442,Yes
36,Female,0,No,Yes,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),80.750546321837,251.4518131818511,Yes
37,Male,0,No,Yes,69,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),105.36771141863387,6609.669303007936,No
38,Male,0,Yes,No,61,No,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,Two year,Yes,Mailed check,116.40834691992951,1046.6392821730396,Yes
39,Male,0,No,No,48,No,No,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Two year,No,Mailed check,94.82734138645182,2692.9186946964705,Yes
40,Male,1,No,Yes,19,No,No phone service,DSL,Yes,No,No,Yes,No internet service,Yes,Two year,No,Mailed check,59.77667821673337,5952.682901719613,No
41,Male,0,Yes,No,4,No,Yes,DSL,Yes,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),60.13570022770702,1301.185490257596,No
42,Female,1,No,Yes,35,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No,No,One year,Yes,Bank transfer (automatic),91.75823015888915,6547.012786518354,No
43,Female,1,Yes,No,64,Yes,No phone service,No,Yes,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,41.87771457683023,6660.095008458696,Yes
44,Female,1,Yes,Yes,49,No,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Two year,No,Credit card (automatic),29.047411313139467,4068.6074508789948,Yes
45,Female,0,No,Yes,17,Yes,No,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),53.462215764077655,68.97202804376563,Yes
46,Female,0,Yes,Yes,44,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),46.72389916540817,2309.1383790021537,No
47,Male,0,Yes,No,30,No,No phone service,DSL,No internet service,No,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,47.63081204559901,4942.3106624751745,No
48,Female,0,Yes,No,46,No,No,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.36077510499099,7849.8280730148945,Yes
49,Female,1,Yes,Yes,6,Yes,No phone service,No,No,No,No internet service,Yes,No internet service,Yes,Two year,Yes,Electronic check,22.20931896363619,5061.135572647047,No
50,Male,0,No,No,37,No,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,One year,No,Mailed check,19.787393473341382,2091.7521840541235,No
51,Female,0,Yes,Yes,24,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,Two year,Yes,Electronic check,116.77223897360315,5078.633522141098,No
52,Male,0,No,Yes,46,No,No,DSL,Yes,No internet service,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),60.77731337358623,4328.163300891958,Yes
53,Female,0,Yes,No,53,Yes,Yes,DSL,No internet service,No internet service,No,Yes,Yes,No,One year,No,Electronic check,56.432664715968166,6242.725944096428,No
54,Male,0,Yes,No,60,No,No,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,No,Bank transfer (automatic),85.96472826930699,871.919459116782,No
55,Female,1,Yes,Yes,63,Yes,No,Fiber optic,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),39.825388786506416,6092.524717771187,Yes
56,Female,0,Yes,No,32,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,112.99611839502253,4338.389830992713,Yes
57,Male,1,No,No,33,Yes,No,DSL,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),96.6345014415552,7704.602174802495,No
58,Male,0,No,Yes,67,No,No,DSL,No,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),26.941100231225953,2746.8236293207924,No
59,Male,1,Yes,Yes,18,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Two year,No,Bank transfer (automatic),59.75807757849284,5067.587950995174,Yes
60,Male,0,Yes,No,25,Yes,Yes,DSL,Yes,No,No internet service,Yes,No,No internet service,Two year,Yes,Credit card (automatic),105.91183075621647,7457.44833818096,Yes
61,Male,0,No,Yes,54,No,No phone service,No,Yes,No internet service,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),112.47320222914102,836.2326488216019,No
62,Male,1,Yes,Yes,58,No,No,No,No internet service,No,No internet service,No,No,No internet service,Two year,No,Electronic check,64.74015112498697,7498.957785121353,No
63,Male,1,Yes,No,67,Yes,Yes,DSL,Yes,No internet service,Yes,No,Yes,No internet service,One year,Yes,Electronic check,79.34113892107078,5508.703835405092,No
64,Male,1,Yes,Yes,46,Yes,No,DSL,No,Yes,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),34.70339460920752,559.4754057774821,No
65,Female,0,No,Yes,24,No,Yes,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,117.11686261369765,2420.2911913694875,Yes
66,Female,1,No,No,32,No,No phone service,No,No,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,41.16717013834434,5670.629611566637,No
67,Male,0,No,No,47,No,Yes,No,No internet service,No,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),112.27317741351257,555.5925009237357,No
68,Female,0,Yes,Yes,23,No,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,82.96466489923685,4664.884613127013,Yes
69,Female,1,Yes,Yes,66,No,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),78.77367948788591,2778.838560598501,No
70,Female,1,No,No,27,Yes,Yes,No,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,No,Electronic check,69.26885110165085,4974.147662820003,Yes
71,Female,0,No,No,2,No,Yes,No,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,41.066981171775865,383.11291389147755,No
72,Male,0,No,No,17,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,One year,Yes,Electronic check,35.65280320055083,6974.6067867082675,No
73,Female,1,No,No,33,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No internet service,One year,Yes,Credit card (automatic),40.048620907017536,7788.388951973982,Yes
74,Male,1,Yes,Yes,9,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),36.64382621442545,7751.583040890389,Yes
75,Female,1,No,No,43,No,No phone service,No,No internet service,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),95.95844735667534,6001.720920972025,No
76,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,53.01252591667301,1056.3483687227044,No
77,Female,0,No,Yes,39,Yes,No phone service,No,Yes,No,Yes,No internet service,No internet service,Yes,Two year,Yes,Electronic check,23.784267656339637,6070.456829905458,No
78,Male,0,Yes,No,42,No,No,DSL,Yes,No internet service,No,No,Yes,Yes,One year,No,Electronic check,114.91026301408114,214.25276717415366,Yes
79,Female,0,No,Yes,26,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Mailed check,106.37858849634257,194.5901883044561,No
80,Male,0,No,No,50,Yes,No phone service,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),110.77522831952129,2601.0567692516383,Yes
81,Female,0,No,No,25,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Credit card (automatic),117.49078226464353,3918.349945810042,Yes
82,Male,1,No,No,24,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,Two year,No,Mailed check,35.389524921948734,6167.392008941805,No
83,Female,0,Yes,Yes,13,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Credit card (automatic),57.62420189026587,5472.063696073124,Yes
84,Male,0,No,Yes,60,Yes,Yes,No,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,No,Bank transfer (automatic),93.82384757040913,3577.1954022992054,No
85,Male,0,Yes,No,7,No,No phone service,DSL,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,87.60206180537922,2202.088050260257,No
86,Female,1,Yes,Yes,57,No,Yes,No,No internet service,No internet service,No,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),33.389590633985506,7977.047760258851,No
87,Male,0,Yes,Yes,36,No,No phone service,DSL,No,No internet service,No internet service,No,Yes,Yes,One year,Yes,Mailed check,99.58331249906178,3419.7791544475363,No
88,Female,0,Yes,Yes,45,Yes,Yes,No,Yes,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,40.44405718366607,3620.97122819947,No
89,Female,1,No,Yes,20,Yes,No phone service,DSL,Yes,Yes,No internet service,No internet service,No,Yes,One year,No,Mailed check,40.381761482262306,1324.0453407519035,Yes
90,Female,0,Yes,Yes,65,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,71.69744228934135,6362.169818121936,Yes
91,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,No internet service,Yes,No,No,No,Two year,No,Bank transfer (automatic),77.29399348417031,5554.971526187843,No
92,Female,0,Yes,No,16,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,One year,No,Mailed check,76.00862078378111,1780.1830492798854,No
93,Female,0,No,No,14,No,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),27.148683739775485,675.5655061056564,Yes
94,Female,0,No,Yes,15,No,No,DSL,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,105.74608626303804,5449.74542916036,Yes
95,Female,1,No,No,66,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,One year,No,Bank transfer (automatic),44.560004258870606,5242.308512392022,Yes
96,Female,1,No,No,32,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No,No,One year,No,Electronic check,30.951492128280417,2199.157544499707,Yes
97,Female,1,Yes,No,63,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),106.87480798689772,7607.792953882776,No
98,Female,0,Yes,No,51,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),113.56514982297534,1223.7440921951456,No
99,Male,0,No,Yes,25,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),104.21276172654507,3468.8963819220485,Yes
